0.0835	0.1972	-0.2320	0.8510	-0.1945	0.1513	-0.1236	0.2229	0.2247	0.0000	0.0000	0.0000	0.0000	-0.0000	-0.0000	-0.0000	-0.0000	
0.1447	0.3154	-0.3071	0.0004	-0.1877	-0.2550	0.1006	-0.3294	-0.2577	0.1681	0.2962	0.3275	-0.1637	-0.0864	-0.2400	0.2767	-0.3290	
0.1674	0.3248	-0.2323	-0.3404	-0.0671	0.2832	-0.0160	0.3003	0.1464	0.2232	0.3335	0.2797	-0.1038	0.1194	0.2976	-0.2011	0.3267	
0.2188	0.2508	0.1526	-0.0013	0.3397	-0.3170	-0.2254	-0.0642	0.3084	0.3200	0.1980	-0.2218	0.2446	-0.1964	-0.3226	-0.3266	0.0116	
0.2366	0.1910	0.2545	0.1362	0.2891	0.3141	0.1531	-0.0443	-0.3414	0.3354	0.0895	-0.3012	0.1966	0.2235	0.2810	0.3177	-0.1422	
0.2736	-0.0158	0.2923	0.0035	-0.2913	-0.2660	0.3144	0.2912	0.0120	0.3129	-0.2431	-0.0887	-0.2997	-0.2811	-0.0645	0.2393	0.3240	
0.2850	-0.0966	0.2076	-0.0545	-0.3405	0.2329	-0.2659	-0.3266	0.1256	0.2810	-0.3095	0.0448	-0.2687	0.2989	-0.0324	-0.3010	-0.2648	
0.3043	-0.2696	-0.1810	-0.0087	0.0711	-0.1201	-0.3535	0.2374	-0.3179	0.1503	-0.2632	0.3173	0.3231	-0.3296	0.2617	-0.0516	-0.1527	
0.3082	-0.3064	-0.2747	0.0218	0.1911	0.0687	0.3364	-0.1500	0.2413	0.0870	-0.1725	0.2530	0.3124	0.3358	-0.3116	0.1578	0.2575	
0.3082	-0.3064	-0.2747	0.0218	0.1911	0.0687	0.3364	-0.1500	0.2413	-0.0870	0.1725	-0.2530	-0.3124	-0.3358	0.3116	-0.1578	-0.2575	
0.3043	-0.2696	-0.1810	-0.0087	0.0711	-0.1201	-0.3535	0.2374	-0.3179	-0.1503	0.2632	-0.3173	-0.3231	0.3296	-0.2617	0.0516	0.1527	
0.2850	-0.0966	0.2076	-0.0545	-0.3405	0.2329	-0.2659	-0.3266	0.1256	-0.2810	0.3095	-0.0448	0.2687	-0.2989	0.0324	0.3010	0.2648	
0.2736	-0.0158	0.2923	0.0035	-0.2913	-0.2660	0.3144	0.2912	0.0120	-0.3129	0.2431	0.0887	0.2997	0.2811	0.0645	-0.2393	-0.3240	
0.2366	0.1910	0.2545	0.1362	0.2891	0.3141	0.1531	-0.0443	-0.3414	-0.3354	-0.0895	0.3012	-0.1966	-0.2235	-0.2810	-0.3177	0.1422	
0.2188	0.2508	0.1526	-0.0013	0.3397	-0.3170	-0.2254	-0.0642	0.3084	-0.3200	-0.1980	0.2218	-0.2446	0.1964	0.3226	0.3266	-0.0116	
0.1674	0.3248	-0.2323	-0.3404	-0.0671	0.2832	-0.0160	0.3003	0.1464	-0.2232	-0.3335	-0.2797	0.1038	-0.1194	-0.2976	0.2011	-0.3267	
0.1447	0.3154	-0.3071	0.0004	-0.1877	-0.2550	0.1006	-0.3294	-0.2577	-0.1681	-0.2962	-0.3275	0.1637	0.0864	0.2400	-0.2767	0.3290	
