-0.0128	0.0254	-0.0376	0.0494	0.0604	-0.0705	0.0795	-0.0870	0.0927	0.0962	-0.0969	-0.0940	0.0867	0.0737	-0.0545	-0.0292	-0.9165	-0.0292	-0.0545	-0.0737	-0.0867	-0.0940	-0.0128	-0.0254	0.0376	0.0494	0.0604	0.0705	-0.0795	-0.0870	0.0969	-0.0927	-0.0962	
-0.0446	0.0876	-0.1277	0.1634	0.1935	-0.2171	0.2333	-0.2415	0.2415	0.2333	-0.2171	-0.1935	0.1634	0.1277	-0.0876	-0.0446	0.0000	0.0446	0.0876	0.1277	0.1634	0.1935	0.0446	0.0876	-0.1277	-0.1634	-0.1935	-0.2171	0.2333	0.2415	-0.2171	0.2415	0.2333	
-0.0571	0.1108	-0.1581	0.1965	0.2239	-0.2392	0.2421	-0.2335	0.2146	0.1878	-0.1558	-0.1217	0.0886	0.0590	-0.0346	-0.0156	0.3666	-0.0156	-0.0346	-0.0590	-0.0886	-0.1217	-0.0571	-0.1108	0.1581	0.1965	0.2239	0.2392	-0.2421	-0.2335	0.1558	-0.2146	-0.1878	
-0.0876	0.1634	-0.2171	0.2415	0.2333	-0.1935	0.1277	-0.0446	-0.0446	-0.1277	0.1935	0.2333	-0.2415	-0.2171	0.1634	0.0876	0.0000	-0.0876	-0.1634	-0.2171	-0.2415	-0.2333	0.0876	0.1634	-0.2171	-0.2415	-0.2333	-0.1935	0.1277	0.0446	0.1935	-0.0446	-0.1277	
-0.0994	0.1813	-0.2313	0.2410	0.2094	-0.1427	0.0531	0.0439	-0.1323	-0.1990	0.2358	0.2408	-0.2176	-0.1740	0.1190	0.0598	-0.1466	0.0598	0.1190	0.1740	0.2176	0.2408	-0.0994	-0.1813	0.2313	0.2410	0.2094	0.1427	-0.0531	0.0439	-0.2358	0.1323	0.1990	
-0.1277	0.2171	-0.2415	0.1935	0.0876	0.0446	-0.1634	0.2333	-0.2333	-0.1634	0.0446	-0.0876	0.1935	0.2415	-0.2171	-0.1277	-0.0000	0.1277	0.2171	0.2415	0.1935	0.0876	0.1277	0.2171	-0.2415	-0.1935	-0.0876	0.0446	-0.1634	-0.2333	0.0446	-0.2333	-0.1634	
-0.1384	0.2272	-0.2351	0.1597	0.0285	0.1120	-0.2131	0.2416	-0.1902	-0.0789	-0.0544	-0.1684	0.2330	0.2369	-0.1873	-0.1020	0.0587	-0.1020	-0.1873	-0.2369	-0.2330	-0.1684	-0.1384	-0.2272	0.2351	0.1597	0.0285	-0.1120	0.2131	0.2416	0.0544	0.1902	0.0789	
-0.1634	0.2415	-0.1935	0.0446	-0.1277	0.2333	-0.2171	0.0876	0.0876	0.2171	-0.2333	-0.1277	-0.0446	-0.1935	0.2415	0.1634	0.0000	-0.1634	-0.2415	-0.1935	-0.0446	0.1277	0.1634	0.2415	-0.1935	-0.0446	0.1277	0.2333	-0.2171	-0.0876	-0.2333	0.0876	0.2171	
-0.1726	0.2425	-0.1685	-0.0049	-0.1750	0.2425	-0.1697	0.0007	0.1674	0.2422	-0.1873	-0.0377	-0.1268	-0.2288	0.2303	0.1407	-0.0235	0.1407	0.2303	0.2288	0.1268	-0.0377	-0.1726	-0.2425	0.1685	-0.0049	-0.1750	-0.2425	0.1697	0.0007	0.1873	-0.1674	-0.2422	
-0.1935	0.2333	-0.0876	-0.1277	-0.2415	0.1634	0.0446	-0.2171	0.2171	0.0446	0.1634	0.2415	-0.1277	0.0876	-0.2333	-0.1935	0.0000	0.1935	0.2333	0.0876	-0.1277	-0.2415	0.1935	0.2333	-0.0876	0.1277	0.2415	0.1634	0.0446	0.2171	0.1634	0.2171	0.0446	
